image,class,x,y,w,h
images/a9a3add3-69a4-4d18-8432-dd1c38a745d9t.jpg,altair,44,36,442,427
images/a9a3add3-69a4-4d18-8432-dd1c38a745d9u.jpg,python,462,459,143,144
images/a9a3add3-69a4-4d18-8432-dd1c38a745d9w.jpg,python,205,481,150,152
images/a9a3add3-69a4-4d18-8432-dd1c38a745d9q.jpg,avt,277,65,171,142
images/a9a3add3-69a4-4d18-8432-dd1c38a745dw.jpg,avt,663,175,396,318
images/a24392f8-7869-4eab-9b56-81d242a6afq.jpg,cpp,179,111,194,199
images/365aefb1-3e28-424a-96cb-cbd48dcf8404e.jpg,cpp,613,240,422,443
images/6fcaa030-f2eb-41a4-beef-f2eea268db89q.jpg,avt,740,475,234,195
images/6fcaa030-f2eb-41a4-beef-f2eea268db89w.jpg,avt,11,40,505,415
images/5c9f4c56-6f40-45ac-a9f3-c4759b94687q.jpg,cpp,932,331,170,183
images/5c9f4c56-6f40-45ac-a9f3-c4759b94687e.jpg,cpp,156,58,332,346
images/5c9f4c56-6f40-45ac-a9f3-c4759b94687r.jpg,avt,472,80,244,193
images/a9a3add3-69a4-4d18-8432-dd1c38a745dr.jpg,altair,885,488,147,151
images/a9a3add3-69a4-4d18-8432-dd1c38a745dt.jpg,kruzhok,342,60,126,127
images/a9a3add3-69a4-4d18-8432-dd1c38a745dy.jpg,kruzhok,946,409,225,224
images/a9a3add3-69a4-4d18-8432-dd1c38a745du.jpg,kruzhok,315,487,172,175
